sample_1,sample_2,PCC,pair_speed_type,pair_biorep_type
S08,S24,0.9815058226347165,same,same
S09,S24,0.9798338878517524,different,different
S10,S24,0.9837982765091025,different,different
S11,S24,0.9852369679473688,different,different
S12,S24,0.9778688483762858,same,different
S13,S24,0.9831125338018019,different,same
S14,S24,0.9882908297835117,different,same
S15,S24,0.9877762752935133,different,same
S16,S24,0.9902790488629755,same,same
S17,S24,0.9922087863499346,different,different
S18,S24,0.9949009180794891,different,different
S19,S24,0.9954543005624844,different,different
S20,S24,0.9908867436562461,same,different
S21,S24,0.9954733725947654,different,same
S22,S24,0.998312052398358,different,same
S23,S24,0.9991264175396453,different,same
