"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","g","v","objval","tshift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","DT","AUC","glog_maxslp"
"11","QFA1705484730",2,3,3,"","UNKNOWN","UNKNOWN","SAMPLE_5","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0435967470744575,0.315485600343126,0.000125715349846855,1,0.000236090680382732,0.166666666666667,0,4.94034250997924e-05,2.37607477480313,0.0260788084777083,0.421218395567635,9.87237765443211,0.00282442030302005,12.3134688468847,"SAMPLE_5","Slog","h","Raw",72.0013888888889,8.43791587000759,0.453255707587781,35.5935210546981,52.9502433134876,2.32174423900488,0.00343853648094816
"12","QFA1705484730",2,4,4,"","UNKNOWN","UNKNOWN","SAMPLE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0426700034444094,0.294192132842365,0.00040249049201783,1,0.000217653776400382,3.16666666666667,0,0.000379295863259705,2.33868765194823,0.0256105179304513,0.364281399169997,10.045198269827,0.00273514887662307,14.4665256803458,"SAMPLE_9","Slog","h","Raw",72.0013888888889,6.72812371374438,0.418650551485069,32.8630503048346,57.3270473784529,2.36690803802306,0.00313829483042547
"13","QFA1705484730",2,5,5,"","UNKNOWN","UNKNOWN","SAMPLE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0424790728570719,0.507071792978455,1.53173009743105e-05,1,0.000269844239227419,2.33333333333333,0.166666666666667,0.000137949432308339,2.33600644504575,0.0256952003752513,0.410568082385154,10.0521129890767,0.0027460121195845,12.3295014223645,"SAMPLE_13","Slog","h","Raw",72.0013888888889,11.4373744573193,0.731169390950706,57.390288656645,32.8241311753955,2.39331283356661,0.00538498490942447
"14","QFA1705484730",2,6,6,"","UNKNOWN","UNKNOWN","SAMPLE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0422106567807774,0.356932547870446,9.13730602483117e-05,1,0.000221061603891324,1.5,0,5.79533077588148e-05,2.3082995375394,0.0246606005363646,0.391776651493814,9.92278366725562,0.00280098039040499,14.5025299752197,"SAMPLE_17","Slog","h","Raw",72.0013888888889,8.85162268735691,0.513336449064277,40.2876473045953,46.7529629811946,2.307068583601,0.00376658931801195
"15","QFA1705484730",2,7,7,"","UNKNOWN","UNKNOWN","SAMPLE_21","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0466007102257525,0.250746997245327,0.000285682835837432,1,0.00022366477279268,0.5,0,0.000204068713525799,2.45747067732522,0.0249651613465164,0.35879814104689,10.045198269827,0.0028381194339816,14.5025299752197,"SAMPLE_21","Slog","h","Raw",72.0013888888889,7.3497937723976,0.358550856811621,28.1909528793048,66.936111137532,2.38794856463999,0.00292124703965176
"16","QFA1705484730",2,8,8,"","UNKNOWN","UNKNOWN","EDGE_20","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.053798379136409,0.185727422528329,0.000470853075799849,1,0.000263627736066314,1.33333333333333,0,0.000364313367307922,2.52728482163383,0.0208311224522347,0.317957014166481,12.2630628340612,0.00258844540149128,16.7347962574035,"EDGE_20","Slog","h","Raw",72.0013888888889,6.83614194306667,0.264563005406766,20.8560067377934,90.7156310955114,2.46715222580348,0.00249795857330177
"17","QFA1705484730",3,1,1,"","UNKNOWN","UNKNOWN","EDGE_3","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0481416102542159,0.435828299831663,1.08435415468472e-05,1,0.000373748372967458,2.5,0,3.80016855893021e-05,2.41372620879946,0.0236722243037946,0.539431287087666,0.00720085897478637,0.00267077895212825,14.495329116245,"EDGE_3","Slog","h","Raw",72.0013888888889,12.1162326589548,0.628563002250757,49.450076309768,38.1823300354314,2.53780192970862,0.00524536903706337
"18","QFA1705484730",3,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0450270699145061,0.27384662797501,0.000307375923619476,1,0.000237324357645664,1.83333333333333,0,0.00024487658627788,2.40641059570189,0.0254443059724239,0.371385371407129,10.0235956929026,0.00275561309468625,14.4665256803458,"SAMPLE_2","Slog","h","Raw",72.0013888888889,7.19464462385141,0.3911847111843,30.7373929704684,61.3520910041212,2.39990422649828,0.00308262781592063
"19","QFA1705484730",3,3,3,"","UNKNOWN","UNKNOWN","SAMPLE_6","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0414715447844702,0.302702316057452,0.000426386161875874,1,0.000190439976923182,3.5,0,0.000367245962583448,2.28916894667847,0.0254675044708778,0.357075457202427,10.0523991288018,0.00276925387329707,14.4737265393206,"SAMPLE_6","Slog","h","Raw",72.0013888888889,6.60381736034906,0.430225600030114,33.7539810086284,55.7846859840979,2.32818217676108,0.00313838316418486
"20","QFA1705484730",3,4,4,"","UNKNOWN","UNKNOWN","SAMPLE_10","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0406441604518289,0.277086926266947,0.000254257046858666,1,0.000158681428886469,0.333333333333333,0,0.000251833875720041,2.21968792594155,0.0245927763490094,0.378845797710525,10.0523991288018,0.00276524157545935,14.4881282572702,"SAMPLE_10","Slog","h","Raw",72.0013888888889,7.32061651817314,0.396142849516314,31.0684514464334,60.5842059986788,2.16381681605488,0.00281549137257447
"21","QFA1705484730",3,5,5,"","UNKNOWN","UNKNOWN","SAMPLE_14","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0426087432042002,0.217429748528246,0.000734545042361896,1,0.000143355089385235,0.833333333333333,0,0.000635319021082085,2.30784899405094,0.0252153404994489,0.296952500420389,12.1622508084142,0.00275503917294279,14.495329116245,"SAMPLE_14","Slog","h","Raw",72.0013888888889,5.85815472823254,0.305875233217037,24.0098280477717,78.4633647764825,2.21927159940562,0.00231610207999846
"22","QFA1705484730",3,6,6,"","UNKNOWN","UNKNOWN","SAMPLE_18","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0394229555588049,0.290106728042069,0.00025826110800653,1,0.000159253609998819,2,0,0.000168779809888963,2.12961529405436,0.0227315596647681,0.392995891527192,10.0740017057261,0.00269777770829302,14.5241325521441,"SAMPLE_18","Slog","h","Raw",72.0013888888889,7.25406172794854,0.414578398515406,32.4960570305332,57.890136307013,2.13663339111436,0.00285921616172819
"23","QFA1705484730",3,7,7,"","UNKNOWN","UNKNOWN","SAMPLE_22","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0428485567564886,0.253482416447115,0.000367752376910355,1,0.000186795850730916,1.66666666666667,0,0.000235038128414986,2.27710978045595,0.0234725004952209,0.35353547838568,10.0812025647009,0.00271374979963351,14.5169316931693,"SAMPLE_22","Slog","h","Raw",72.0013888888889,6.8643681353107,0.361167466785358,28.3529437429911,66.4511679681914,2.25438396526472,0.00271533892697652
"24","QFA1705484730",3,8,8,"","UNKNOWN","UNKNOWN","EDGE_21","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0513234587860477,0.198713415075844,0.000490210475920409,1,0.000261498356255028,1,0,0.000447154630801928,2.54755995130589,0.0236936456034881,0.320614440987299,12.1838533853385,0.00270231133326151,14.5169316931693,"EDGE_21","Slog","h","Raw",72.0013888888889,6.71007327416882,0.282730247617156,22.2689552096036,84.8865666205558,2.45880857906533,0.00254966494221996
"25","QFA1705484730",4,1,1,"","UNKNOWN","UNKNOWN","EDGE_4","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0509342535374843,0.302199187914449,9.18327164186346e-05,1,0.000366975741179237,3,0,0.000199515482498713,2.47114965541611,0.0233450235250114,0.470111213175528,10.0163948339278,0.0026329648168677,14.5097308341945,"EDGE_4","Slog","h","Raw",72.0013888888889,9.1154122656557,0.434847108404744,34.2455066682137,55.1918123315689,2.59580140163129,0.00384807251401411
"26","QFA1705484730",4,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_3","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0427532495134561,0.307170196771635,0.000169236845924053,1,0.000220694545204221,1.5,0,0.000152557132727294,2.29954733679131,0.0243903926798741,0.368674675845782,10.0163948339278,0.00270684378274669,14.4881282572702,"SAMPLE_3","Slog","h","Raw",72.0013888888889,7.98084656428196,0.440621564657741,34.5889603765611,54.4685097712872,2.29615460354351,0.00328313101641878
"27","QFA1705484730",4,3,3,"","UNKNOWN","UNKNOWN","SAMPLE_7","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0394177057687654,0.339252324455045,8.63538651595829e-05,1,0.000185824157503365,0.166666666666667,0,6.77796688421343e-05,2.16211092366325,0.0234722704710174,0.447631044044883,9.97318968007912,0.00264453555474248,14.495329116245,"SAMPLE_7","Slog","h","Raw",72.0013888888889,8.83436734064502,0.487890550872589,38.2424177443297,49.1913605563301,2.12042094012746,0.00334313707668467
"28","QFA1705484730",4,4,4,"","UNKNOWN","UNKNOWN","SAMPLE_11","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0408370431514803,0.261339008665221,0.000320885667355455,1,0.000160869885351936,0.166666666666667,0,0.000315160593213221,2.22152682463185,0.0240508560456429,0.350790748040453,10.0740017057261,0.00266501856248033,14.495329116245,"SAMPLE_11","Slog","h","Raw",72.0013888888889,6.99167524814132,0.37275639811729,29.2368590482504,64.3852127588384,2.15993927082578,0.00266807809350668
"29","QFA1705484730",4,5,5,"","UNKNOWN","UNKNOWN","SAMPLE_15","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0395947959937638,0.302094988495816,0.000410566103410675,1,0.000165177522463657,3,0,0.000403716242102279,2.19132928452203,0.024008370911923,0.331030671318899,10.0740017057261,0.00263436213669699,14.4881282572702,"SAMPLE_15","Slog","h","Raw",72.0013888888889,6.59155249428808,0.429307156293997,33.6532407336095,55.9040296630052,2.22248316617388,0.00299034736005757
"30","QFA1705484730",4,6,6,"","UNKNOWN","UNKNOWN","SAMPLE_19","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0391085024780586,0.29207706008742,0.000299726042182252,1,0.000165418561374485,3.5,0,0.000334754829753918,2.08555329926087,0.0212877695859184,0.378453904854581,12.1838533853385,0.00259490926647274,14.560136847018,"SAMPLE_19","Slog","h","Raw",72.0013888888889,7.02769404380238,0.416716979710457,32.6588716571663,57.5930455645836,2.14203888542243,0.00285567410705323
"31","QFA1705484730",4,7,7,"","UNKNOWN","UNKNOWN","SAMPLE_23","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0429340931316241,0.243916990242551,0.000458042124415781,1,0.000190803888814934,2.5,0,0.000388873006177977,2.25985641879465,0.0227138144557614,0.345627489908296,12.1982551032881,0.00271627997731547,14.5385342700937,"SAMPLE_23","Slog","h","Raw",72.0013888888889,6.55049962510589,0.346478272122153,27.2007860418519,69.2684128589128,2.25912648867105,0.00261808869386479
"32","QFA1705484730",4,8,8,"","UNKNOWN","UNKNOWN","EDGE_22","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.048723195216447,0.192862121597488,0.000592365217681646,1,0.000232123486651772,1,0,0.000500052077946829,2.43350545618516,0.0229610149804194,0.319636181531635,12.2054559622629,0.00267203353627316,14.5313334111189,"EDGE_22","Slog","h","Raw",72.0013888888889,6.36197800517026,0.273357425647364,21.5102101463264,87.7971393795625,2.35145120942803,0.00234921470011313
