"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","b","objval","g","yShift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","AUC","DT"
"12","QFA1705484730",2,4,4,"","UNKNOWN","UNKNOWN","SAMPLE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0426779369964893,0.0106712987011357,15.3336266593054,0.000325417821908344,0.00896669321853445,0.000348084998428153,0,0.000379295863259705,2.33868765194823,0.0256105179304513,0.364281399169997,10.045198269827,0.00273514887662307,14.4665256803458,"SAMPLE_9","Gmp","h","Raw",72.0013888888889,2.25084249546423,0.010646032257939,0.0239625418142521,2.38214742973852,2254.3610068533
"13","QFA1705484730",2,5,5,"","UNKNOWN","UNKNOWN","SAMPLE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0425962509251029,0.0108029506695799,15.166959570129,0.00031743766934392,0.0089412503084862,-0.000132561134060605,0.166666666666667,0.000137949432308339,2.33600644504575,0.0256952003752513,0.410568082385154,10.0521129890767,0.0027460121195845,12.3295014223645,"SAMPLE_13","Gmp","h","Raw",72.0013888888889,2.25217796708995,0.0107819361265207,0.024282838986721,2.38519646659205,2225.94529575875
"14","QFA1705484730",2,6,6,"","UNKNOWN","UNKNOWN","SAMPLE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0421037306849869,0.00782697620256964,15.8336264053239,0.000286126262787651,0.0103767969782123,5.79533077588148e-05,0,5.79533077588148e-05,2.3082995375394,0.0246606005363646,0.391776651493814,9.92278366725562,0.00280098039040499,14.5025299752197,"SAMPLE_17","Gmp","h","Raw",72.0013888888889,2.02058687829905,0.0071856233828957,0.0145191763198779,2.31670635750647,3340.00249124222
"15","QFA1705484730",2,7,7,"","UNKNOWN","UNKNOWN","SAMPLE_21","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0463220821710378,0.0107579010738952,16.6669605426512,0.00037305670025463,0.00909344684414774,0.000204068713525799,0,0.000204068713525799,2.45747067732522,0.0249651613465164,0.35879814104689,10.045198269827,0.0028381194339816,14.5025299752197,"SAMPLE_21","Gmp","h","Raw",72.0013888888889,2.34880095123264,0.0110541028284718,0.0259638872385382,2.52078015055225,2171.13956441437
"16","QFA1705484730",2,8,8,"","UNKNOWN","UNKNOWN","EDGE_20","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0555307918354761,0.00659412773686412,21.0002928898462,0.000478520984044792,0.0129341748653456,0.000364313367307922,0,0.000364313367307922,2.52728482163383,0.0208311224522347,0.317957014166481,12.2630628340612,0.00258844540149128,16.7347962574035,"EDGE_20","Gmp","h","Raw",72.0013888888889,2.10209994769112,0.00625011901810757,0.0131383748610272,2.7327581688464,3839.92687666719
"17","QFA1705484730",3,1,1,"","UNKNOWN","UNKNOWN","EDGE_3","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0481416102542159,0.0106074115903326,17.5002937165412,0.000433223746718449,0.00918728244358148,4.3359066780458e-06,0,3.80016855893021e-05,2.41372620879946,0.0236722243037946,0.539431287087666,0.00720085897478637,0.00267077895212825,14.495329116245,"EDGE_3","Gmp","h","Raw",72.0013888888889,2.38957431120349,0.0110248666532362,0.0263447381390173,2.57730302656705,2176.89707774879
"18","QFA1705484730",3,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0450386564061031,0.0106321187533009,15.8336268592182,0.000365204450181533,0.00927414030963311,0.00024487658627788,0,0.00024487658627788,2.40641059570189,0.0254443059724239,0.371385371407129,10.0235956929026,0.00275561309468625,14.4665256803458,"SAMPLE_2","Gmp","h","Raw",72.0013888888889,2.27987833085465,0.0107035982087702,0.0244029016183498,2.48913550984689,2242.23663219488
"19","QFA1705484730",3,3,3,"","UNKNOWN","UNKNOWN","SAMPLE_6","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0403988225449991,0.0026768353252903,15.1669588925804,0.000154198108937427,0.0132251431023174,0.000367245962583448,0,0.000367245962583448,2.28916894667847,0.0254675044708778,0.357075457202427,10.0523991288018,0.00276925387329707,14.4737265393206,"SAMPLE_6","Gmp","h","Raw",72.0013888888889,1.61102991205648,0.0019682302445172,0.00317087779773146,2.16651299430239,12193.6953600096
"20","QFA1705484730",3,4,4,"","UNKNOWN","UNKNOWN","SAMPLE_10","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0393396114829644,0.0109117023321593,15.1669602425861,0.000276533629644237,0.00819993348950732,0.000216531065897223,0,0.000251833875720041,2.21968792594155,0.0245927763490094,0.378845797710525,10.0523991288018,0.00276524157545935,14.4881282572702,"SAMPLE_10","Gmp","h","Raw",72.0013888888889,2.26229859662112,0.0109252602278357,0.0247162008811533,2.20565537233829,2196.74401336932
"21","QFA1705484730",3,5,5,"","UNKNOWN","UNKNOWN","SAMPLE_14","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0405055021362806,0.00513346019608384,15.500292627779,0.0002249097087157,0.0117044655268176,0.000635319021082085,0,0.000635319021082085,2.30784899405094,0.0252153404994489,0.296952500420389,12.1622508084142,0.00275503917294279,14.495329116245,"SAMPLE_14","Gmp","h","Raw",72.0013888888889,1.79105883566245,0.0042261809674853,0.00756933876292303,2.22066583394748,5678.88601662997
"22","QFA1705484730",3,6,6,"","UNKNOWN","UNKNOWN","SAMPLE_18","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0379240560556475,0.00853056841489424,15.8336260954347,0.000252715764714674,0.00895274182219484,0.000168779809888963,0,0.000168779809888963,2.12961529405436,0.0227315596647681,0.392995891527192,10.0740017057261,0.00269777770829302,14.5241325521441,"SAMPLE_18","Gmp","h","Raw",72.0013888888889,2.08271178391452,0.00802655763667503,0.0167170061741722,2.0942363784797,2990.07383817179
"23","QFA1705484730",3,7,7,"","UNKNOWN","UNKNOWN","SAMPLE_22","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0417304065681151,0.0107802257288368,16.3336264648281,0.000320107280943128,0.0083091654549048,0.000235038128414986,0,0.000235038128414986,2.27710978045595,0.0234725004952209,0.35353547838568,10.0812025647009,0.00271374979963351,14.5169316931693,"SAMPLE_22","Gmp","h","Raw",72.0013888888889,2.32832348659283,0.0110115789192518,0.0256385178221643,2.28866423408237,2179.5239516506
"24","QFA1705484730",3,8,8,"","UNKNOWN","UNKNOWN","EDGE_21","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0513758087401311,0.00974827893068941,18.6669614099326,0.000471691262987576,0.00996667372777163,0.000414851796563109,0,0.000447154630801928,2.54755995130589,0.0236936456034881,0.320614440987299,12.1838533853385,0.00270231133326151,14.5169316931693,"EDGE_21","Gmp","h","Raw",72.0013888888889,2.36590519356615,0.0100654467969856,0.0238138928525519,2.68253195426239,2384.39489911045
